sample_name,plate_well
PD193_humanmouse_765k_H22,H22
PD193_humanmouse_765k_H24,H24
PD193_humanmouse_765k_I01,I01
PD193_humanmouse_765k_I03,I03
PD193_humanmouse_765k_I05,I05
PD193_humanmouse_765k_I07,I07
PD193_humanmouse_765k_I09,I09
PD193_humanmouse_765k_I11,I11
PD193_humanmouse_765k_I13,I13
PD193_humanmouse_765k_I15,I15
PD193_humanmouse_765k_I17,I17
PD193_humanmouse_765k_I19,I19
PD193_humanmouse_765k_I21,I21
PD193_humanmouse_765k_I23,I23
PD193_humanmouse_765k_J01,J01
PD193_humanmouse_765k_J03,J03
PD193_humanmouse_765k_J05,J05
PD193_humanmouse_765k_J07,J07
PD193_humanmouse_765k_J09,J09
PD193_humanmouse_765k_J11,J11
PD193_humanmouse_765k_J13,J13
PD193_humanmouse_765k_J15,J15
PD193_humanmouse_765k_J17,J17
PD193_humanmouse_765k_J19,J19
PD193_humanmouse_765k_J21,J21
PD193_humanmouse_765k_J23,J23
PD193_humanmouse_765k_K01,K01
PD193_humanmouse_765k_K03,K03
PD193_humanmouse_765k_K05,K05
PD193_humanmouse_765k_K07,K07
PD193_humanmouse_765k_K09,K09
PD193_humanmouse_765k_K11,K11
PD193_humanmouse_765k_K13,K13
PD193_humanmouse_765k_K15,K15
PD193_humanmouse_765k_K17,K17
PD193_humanmouse_765k_K19,K19
PD193_humanmouse_765k_K21,K21
PD193_humanmouse_765k_K23,K23
PD193_humanmouse_765k_L01,L01
PD193_humanmouse_765k_L03,L03
PD193_humanmouse_765k_L05,L05
PD193_humanmouse_765k_L07,L07
PD193_humanmouse_765k_L09,L09
PD193_humanmouse_765k_L11,L11
PD193_humanmouse_765k_L13,L13
PD193_humanmouse_765k_L15,L15
PD193_humanmouse_765k_L17,L17
PD193_humanmouse_765k_L19,L19
PD193_humanmouse_765k_L21,L21
PD193_humanmouse_765k_L23,L23
PD193_humanmouse_765k_M01,M01
PD193_humanmouse_765k_M03,M03
PD193_humanmouse_765k_M05,M05
PD193_humanmouse_765k_M07,M07
PD193_humanmouse_765k_M09,M09
PD193_humanmouse_765k_M11,M11
PD193_humanmouse_765k_M13,M13
PD193_humanmouse_765k_M15,M15
PD193_humanmouse_765k_M17,M17
PD193_humanmouse_765k_M19,M19
PD193_humanmouse_765k_M21,M21
PD193_humanmouse_765k_M23,M23
PD193_humanmouse_765k_N01,N01
PD193_humanmouse_765k_N03,N03
PD193_humanmouse_765k_N05,N05
PD193_humanmouse_765k_N07,N07
PD193_humanmouse_765k_N09,N09
PD193_humanmouse_765k_N11,N11
PD193_humanmouse_765k_N13,N13
PD193_humanmouse_765k_N15,N15
PD193_humanmouse_765k_N17,N17
PD193_humanmouse_765k_N19,N19
PD193_humanmouse_765k_N21,N21
PD193_humanmouse_765k_N23,N23
PD193_humanmouse_765k_O01,O01
PD193_humanmouse_765k_O03,O03
PD193_humanmouse_765k_O05,O05
PD193_humanmouse_765k_O07,O07
PD193_humanmouse_765k_O09,O09
PD193_humanmouse_765k_O11,O11
PD193_humanmouse_765k_O13,O13
PD193_humanmouse_765k_O15,O15
PD193_humanmouse_765k_O17,O17
PD193_humanmouse_765k_O19,O19
PD193_humanmouse_765k_O21,O21
PD193_humanmouse_765k_O23,O23
PD193_humanmouse_765k_P01,P01
PD193_humanmouse_765k_P03,P03
PD193_humanmouse_765k_P05,P05
PD193_humanmouse_765k_P07,P07
PD193_humanmouse_765k_P09,P09
PD193_humanmouse_765k_P11,P11
PD193_humanmouse_765k_P13,P13
PD193_humanmouse_765k_P15,P15
PD193_humanmouse_765k_P17,P17
PD193_humanmouse_765k_P19,P19
PD193_humanmouse_765k_P21,P21
PD193_humanmouse_765k_P23,P23
PD193_humanmouse_765k_I02,I02
PD193_humanmouse_765k_I04,I04
PD193_humanmouse_765k_I06,I06
PD193_humanmouse_765k_I08,I08
PD193_humanmouse_765k_I10,I10
PD193_humanmouse_765k_I12,I12
PD193_humanmouse_765k_I14,I14
PD193_humanmouse_765k_I16,I16
PD193_humanmouse_765k_I18,I18
PD193_humanmouse_765k_I20,I20
PD193_humanmouse_765k_I22,I22
PD193_humanmouse_765k_I24,I24
PD193_humanmouse_765k_J02,J02
PD193_humanmouse_765k_J04,J04
PD193_humanmouse_765k_J06,J06
PD193_humanmouse_765k_J08,J08
PD193_humanmouse_765k_J10,J10
PD193_humanmouse_765k_J12,J12
PD193_humanmouse_765k_J14,J14
PD193_humanmouse_765k_J16,J16
PD193_humanmouse_765k_J18,J18
PD193_humanmouse_765k_J20,J20
PD193_humanmouse_765k_J22,J22
PD193_humanmouse_765k_J24,J24
PD193_humanmouse_765k_K02,K02
PD193_humanmouse_765k_K04,K04
PD193_humanmouse_765k_K06,K06
PD193_humanmouse_765k_K08,K08
PD193_humanmouse_765k_K10,K10
PD193_humanmouse_765k_K12,K12
PD193_humanmouse_765k_K14,K14
PD193_humanmouse_765k_K16,K16
PD193_humanmouse_765k_K18,K18
PD193_humanmouse_765k_K20,K20
PD193_humanmouse_765k_K22,K22
PD193_humanmouse_765k_K24,K24
PD193_humanmouse_765k_L02,L02
PD193_humanmouse_765k_L04,L04
PD193_humanmouse_765k_L06,L06
PD193_humanmouse_765k_L08,L08
PD193_humanmouse_765k_L10,L10
PD193_humanmouse_765k_L12,L12
PD193_humanmouse_765k_L14,L14
PD193_humanmouse_765k_L16,L16
PD193_humanmouse_765k_L18,L18
PD193_humanmouse_765k_L20,L20
PD193_humanmouse_765k_L22,L22
PD193_humanmouse_765k_L24,L24
PD193_humanmouse_765k_M02,M02
PD193_humanmouse_765k_M04,M04
PD193_humanmouse_765k_M06,M06
PD193_humanmouse_765k_M08,M08
PD193_humanmouse_765k_M10,M10
PD193_humanmouse_765k_M12,M12
PD193_humanmouse_765k_M14,M14
PD193_humanmouse_765k_M16,M16
PD193_humanmouse_765k_M18,M18
PD193_humanmouse_765k_M20,M20
PD193_humanmouse_765k_M22,M22
PD193_humanmouse_765k_M24,M24
PD193_humanmouse_765k_N02,N02
PD193_humanmouse_765k_N04,N04
PD193_humanmouse_765k_N06,N06
PD193_humanmouse_765k_N08,N08
PD193_humanmouse_765k_N10,N10
PD193_humanmouse_765k_N12,N12
PD193_humanmouse_765k_N14,N14
PD193_humanmouse_765k_N16,N16
PD193_humanmouse_765k_N18,N18
PD193_humanmouse_765k_N20,N20
PD193_humanmouse_765k_N22,N22
PD193_humanmouse_765k_N24,N24
PD193_humanmouse_765k_O02,O02
PD193_humanmouse_765k_O04,O04
PD193_humanmouse_765k_O06,O06
PD193_humanmouse_765k_O08,O08
PD193_humanmouse_765k_O10,O10
PD193_humanmouse_765k_O12,O12
PD193_humanmouse_765k_O14,O14
PD193_humanmouse_765k_O16,O16
PD193_humanmouse_765k_O18,O18
PD193_humanmouse_765k_O20,O20
PD193_humanmouse_765k_O22,O22
PD193_humanmouse_765k_O24,O24
PD193_humanmouse_765k_P02,P02
PD193_humanmouse_765k_P04,P04
PD193_humanmouse_765k_P06,P06
PD193_humanmouse_765k_P08,P08
PD193_humanmouse_765k_P10,P10
PD193_humanmouse_765k_P12,P12
PD193_humanmouse_765k_P14,P14
PD193_humanmouse_765k_P16,P16
PD193_humanmouse_765k_P18,P18
PD193_humanmouse_765k_P20,P20
PD193_humanmouse_765k_P22,P22
PD193_humanmouse_765k_P24,P24
