sample_name,plate_well
PD191_organoid_169M_F19,F19
PD191_organoid_169M_F21,F21
PD191_organoid_169M_F23,F23
PD191_organoid_169M_G01,G01
PD191_organoid_169M_G03,G03
PD191_organoid_169M_G05,G05
PD191_organoid_169M_G07,G07
PD191_organoid_169M_G09,G09
PD191_organoid_169M_G11,G11
PD191_organoid_169M_G13,G13
PD191_organoid_169M_G15,G15
PD191_organoid_169M_G17,G17
PD191_organoid_169M_G19,G19
PD191_organoid_169M_G21,G21
PD191_organoid_169M_G23,G23
PD191_organoid_169M_H01,H01
PD191_organoid_169M_H03,H03
PD191_organoid_169M_H05,H05
PD191_organoid_169M_H07,H07
PD191_organoid_169M_H09,H09
PD191_organoid_169M_H11,H11
PD191_organoid_169M_H13,H13
PD191_organoid_169M_H15,H15
PD191_organoid_169M_H17,H17
PD191_organoid_169M_H19,H19
PD191_organoid_169M_H21,H21
PD191_organoid_169M_H23,H23
PD191_organoid_169M_A02,A02
PD191_organoid_169M_A04,A04
PD191_organoid_169M_A06,A06
PD191_organoid_169M_A08,A08
PD191_organoid_169M_A10,A10
PD191_organoid_169M_A12,A12
PD191_organoid_169M_A14,A14
PD191_organoid_169M_A16,A16
PD191_organoid_169M_A18,A18
PD191_organoid_169M_A20,A20
PD191_organoid_169M_A22,A22
PD191_organoid_169M_A24,A24
PD191_organoid_169M_B02,B02
PD191_organoid_169M_B04,B04
PD191_organoid_169M_B06,B06
PD191_organoid_169M_B08,B08
PD191_organoid_169M_B10,B10
PD191_organoid_169M_B12,B12
PD191_organoid_169M_B14,B14
PD191_organoid_169M_B16,B16
PD191_organoid_169M_B18,B18
PD191_organoid_169M_B20,B20
PD191_organoid_169M_B22,B22
PD191_organoid_169M_B24,B24
PD191_organoid_169M_C02,C02
PD191_organoid_169M_C04,C04
PD191_organoid_169M_C06,C06
PD191_organoid_169M_C08,C08
PD191_organoid_169M_C10,C10
PD191_organoid_169M_C12,C12
PD191_organoid_169M_C14,C14
PD191_organoid_169M_C16,C16
PD191_organoid_169M_C18,C18
PD191_organoid_169M_C20,C20
PD191_organoid_169M_C22,C22
PD191_organoid_169M_C24,C24
PD191_organoid_169M_D02,D02
PD191_organoid_169M_D04,D04
PD191_organoid_169M_D06,D06
PD191_organoid_169M_D08,D08
PD191_organoid_169M_D10,D10
PD191_organoid_169M_D12,D12
PD191_organoid_169M_D14,D14
PD191_organoid_169M_D16,D16
PD191_organoid_169M_D18,D18
PD191_organoid_169M_D20,D20
PD191_organoid_169M_D22,D22
PD191_organoid_169M_D24,D24
PD191_organoid_169M_E02,E02
PD191_organoid_169M_E04,E04
PD191_organoid_169M_E06,E06
PD191_organoid_169M_E08,E08
PD191_organoid_169M_E10,E10
PD191_organoid_169M_E12,E12
PD191_organoid_169M_E14,E14
PD191_organoid_169M_E16,E16
PD191_organoid_169M_E18,E18
PD191_organoid_169M_E20,E20
PD191_organoid_169M_E22,E22
PD191_organoid_169M_E24,E24
PD191_organoid_169M_F02,F02
PD191_organoid_169M_F04,F04
PD191_organoid_169M_F06,F06
PD191_organoid_169M_F08,F08
PD191_organoid_169M_F10,F10
PD191_organoid_169M_F12,F12
PD191_organoid_169M_F14,F14
PD191_organoid_169M_F16,F16
PD191_organoid_169M_F18,F18
PD191_organoid_169M_F20,F20
PD191_organoid_169M_F22,F22
PD191_organoid_169M_F24,F24
PD191_organoid_169M_G02,G02
PD191_organoid_169M_G04,G04
PD191_organoid_169M_G06,G06
PD191_organoid_169M_G08,G08
PD191_organoid_169M_G10,G10
PD191_organoid_169M_G12,G12
PD191_organoid_169M_G14,G14
PD191_organoid_169M_G16,G16
PD191_organoid_169M_G18,G18
PD191_organoid_169M_G20,G20
PD191_organoid_169M_G22,G22
PD191_organoid_169M_G24,G24
PD191_organoid_169M_H02,H02
PD191_organoid_169M_H04,H04
PD191_organoid_169M_H06,H06
PD191_organoid_169M_H08,H08
PD191_organoid_169M_H10,H10
PD191_organoid_169M_H12,H12
PD191_organoid_169M_H14,H14
PD191_organoid_169M_H16,H16
PD191_organoid_169M_H18,H18
PD191_organoid_169M_H20,H20
PD191_organoid_169M_H22,H22
PD191_organoid_169M_H24,H24
PD191_organoid_169M_I01,I01
PD191_organoid_169M_I03,I03
PD191_organoid_169M_I05,I05
PD191_organoid_169M_I07,I07
PD191_organoid_169M_I09,I09
PD191_organoid_169M_I11,I11
PD191_organoid_169M_I13,I13
PD191_organoid_169M_I15,I15
PD191_organoid_169M_I17,I17
PD191_organoid_169M_I19,I19
PD191_organoid_169M_I21,I21
PD191_organoid_169M_I23,I23
PD191_organoid_169M_J01,J01
PD191_organoid_169M_J03,J03
PD191_organoid_169M_J05,J05
PD191_organoid_169M_J07,J07
PD191_organoid_169M_J09,J09
PD191_organoid_169M_J11,J11
PD191_organoid_169M_J13,J13
PD191_organoid_169M_J15,J15
PD191_organoid_169M_J17,J17
PD191_organoid_169M_J19,J19
PD191_organoid_169M_J21,J21
PD191_organoid_169M_J23,J23
PD191_organoid_169M_K01,K01
PD191_organoid_169M_K03,K03
PD191_organoid_169M_K05,K05
PD191_organoid_169M_K07,K07
PD191_organoid_169M_K09,K09
PD191_organoid_169M_K11,K11
PD191_organoid_169M_K13,K13
PD191_organoid_169M_K15,K15
PD191_organoid_169M_K17,K17
PD191_organoid_169M_K19,K19
PD191_organoid_169M_K21,K21
PD191_organoid_169M_K23,K23
PD191_organoid_169M_L01,L01
PD191_organoid_169M_L03,L03
PD191_organoid_169M_L05,L05
PD191_organoid_169M_L07,L07
PD191_organoid_169M_L09,L09
PD191_organoid_169M_L11,L11
PD191_organoid_169M_L13,L13
PD191_organoid_169M_L15,L15
PD191_organoid_169M_L17,L17
PD191_organoid_169M_L19,L19
PD191_organoid_169M_L21,L21
PD191_organoid_169M_L23,L23
PD191_organoid_169M_M01,M01
PD191_organoid_169M_M03,M03
PD191_organoid_169M_M05,M05
PD191_organoid_169M_M07,M07
PD191_organoid_169M_M09,M09
PD191_organoid_169M_M11,M11
PD191_organoid_169M_M13,M13
PD191_organoid_169M_M15,M15
PD191_organoid_169M_M17,M17
PD191_organoid_169M_M19,M19
PD191_organoid_169M_M21,M21
PD191_organoid_169M_M23,M23
PD191_organoid_169M_N01,N01
PD191_organoid_169M_N03,N03
PD191_organoid_169M_N05,N05
PD191_organoid_169M_N07,N07
PD191_organoid_169M_N09,N09
PD191_organoid_169M_N11,N11
PD191_organoid_169M_N13,N13
PD191_organoid_169M_N15,N15
PD191_organoid_169M_N17,N17
PD191_organoid_169M_N19,N19
PD191_organoid_169M_N21,N21
PD191_organoid_169M_N23,N23
PD191_organoid_169M_O01,O01
PD191_organoid_169M_O03,O03
PD191_organoid_169M_O05,O05
PD191_organoid_169M_O07,O07
PD191_organoid_169M_O09,O09
PD191_organoid_169M_O11,O11
PD191_organoid_169M_O13,O13
PD191_organoid_169M_O15,O15
PD191_organoid_169M_O17,O17
PD191_organoid_169M_O19,O19
PD191_organoid_169M_O21,O21
PD191_organoid_169M_O23,O23
PD191_organoid_169M_P01,P01
PD191_organoid_169M_P03,P03
PD191_organoid_169M_P05,P05
PD191_organoid_169M_P07,P07
PD191_organoid_169M_P09,P09
PD191_organoid_169M_P11,P11
PD191_organoid_169M_P13,P13
PD191_organoid_169M_P15,P15
PD191_organoid_169M_P17,P17
PD191_organoid_169M_P19,P19
PD191_organoid_169M_P21,P21
PD191_organoid_169M_P23,P23
PD191_organoid_169M_I02,I02
PD191_organoid_169M_I04,I04
PD191_organoid_169M_I06,I06
PD191_organoid_169M_I08,I08
PD191_organoid_169M_I10,I10
PD191_organoid_169M_I12,I12
PD191_organoid_169M_I14,I14
PD191_organoid_169M_I16,I16
PD191_organoid_169M_I18,I18
PD191_organoid_169M_I20,I20
PD191_organoid_169M_I22,I22
PD191_organoid_169M_I24,I24
PD191_organoid_169M_J02,J02
PD191_organoid_169M_J04,J04
PD191_organoid_169M_J06,J06
PD191_organoid_169M_J08,J08
PD191_organoid_169M_J10,J10
PD191_organoid_169M_J12,J12
PD191_organoid_169M_J14,J14
PD191_organoid_169M_J16,J16
PD191_organoid_169M_J18,J18
PD191_organoid_169M_J20,J20
PD191_organoid_169M_J22,J22
PD191_organoid_169M_J24,J24
PD191_organoid_169M_K02,K02
PD191_organoid_169M_K04,K04
PD191_organoid_169M_K06,K06
PD191_organoid_169M_K08,K08
PD191_organoid_169M_K10,K10
PD191_organoid_169M_K12,K12
PD191_organoid_169M_K14,K14
PD191_organoid_169M_K16,K16
PD191_organoid_169M_K18,K18
PD191_organoid_169M_K20,K20
PD191_organoid_169M_K22,K22
PD191_organoid_169M_K24,K24
PD191_organoid_169M_L02,L02
PD191_organoid_169M_L04,L04
PD191_organoid_169M_L06,L06
PD191_organoid_169M_L08,L08
PD191_organoid_169M_L10,L10
PD191_organoid_169M_L12,L12
PD191_organoid_169M_L14,L14
PD191_organoid_169M_L16,L16
PD191_organoid_169M_L18,L18
PD191_organoid_169M_L20,L20
PD191_organoid_169M_L22,L22
PD191_organoid_169M_L24,L24
PD191_organoid_169M_M02,M02
PD191_organoid_169M_M04,M04
PD191_organoid_169M_M06,M06
PD191_organoid_169M_M08,M08
PD191_organoid_169M_M10,M10
PD191_organoid_169M_M12,M12
PD191_organoid_169M_M14,M14
PD191_organoid_169M_M16,M16
PD191_organoid_169M_M18,M18
PD191_organoid_169M_M20,M20
PD191_organoid_169M_M22,M22
PD191_organoid_169M_M24,M24
PD191_organoid_169M_N02,N02
PD191_organoid_169M_N04,N04
PD191_organoid_169M_N06,N06
PD191_organoid_169M_N08,N08
PD191_organoid_169M_N10,N10
PD191_organoid_169M_N12,N12
PD191_organoid_169M_N14,N14
PD191_organoid_169M_N16,N16
PD191_organoid_169M_N18,N18
PD191_organoid_169M_N20,N20
PD191_organoid_169M_N22,N22
PD191_organoid_169M_N24,N24
PD191_organoid_169M_O02,O02
PD191_organoid_169M_O04,O04
PD191_organoid_169M_O06,O06
PD191_organoid_169M_O08,O08
PD191_organoid_169M_O10,O10
PD191_organoid_169M_O12,O12
PD191_organoid_169M_O14,O14
PD191_organoid_169M_O16,O16
PD191_organoid_169M_O18,O18
PD191_organoid_169M_O20,O20
PD191_organoid_169M_O22,O22
PD191_organoid_169M_O24,O24
PD191_organoid_169M_P02,P02
PD191_organoid_169M_P04,P04
PD191_organoid_169M_P06,P06
PD191_organoid_169M_P08,P08
PD191_organoid_169M_P10,P10
PD191_organoid_169M_P12,P12
PD191_organoid_169M_P14,P14
PD191_organoid_169M_P16,P16
PD191_organoid_169M_P18,P18
PD191_organoid_169M_P20,P20
PD191_organoid_169M_P22,P22
PD191_organoid_169M_P24,P24
