sample_name,plate_well
PD193_humanmouse_153M_H12,H12
PD193_humanmouse_153M_H14,H14
PD193_humanmouse_153M_H16,H16
PD193_humanmouse_153M_H18,H18
PD193_humanmouse_153M_H20,H20
PD193_humanmouse_153M_H22,H22
PD193_humanmouse_153M_H24,H24
PD193_humanmouse_153M_I01,I01
PD193_humanmouse_153M_I03,I03
PD193_humanmouse_153M_I05,I05
PD193_humanmouse_153M_I07,I07
PD193_humanmouse_153M_I09,I09
PD193_humanmouse_153M_I11,I11
PD193_humanmouse_153M_I13,I13
PD193_humanmouse_153M_I15,I15
PD193_humanmouse_153M_I17,I17
PD193_humanmouse_153M_I19,I19
PD193_humanmouse_153M_I21,I21
PD193_humanmouse_153M_I23,I23
PD193_humanmouse_153M_J01,J01
PD193_humanmouse_153M_J03,J03
PD193_humanmouse_153M_J05,J05
PD193_humanmouse_153M_J07,J07
PD193_humanmouse_153M_J09,J09
PD193_humanmouse_153M_J11,J11
PD193_humanmouse_153M_J13,J13
PD193_humanmouse_153M_J15,J15
PD193_humanmouse_153M_J17,J17
PD193_humanmouse_153M_J19,J19
PD193_humanmouse_153M_J21,J21
PD193_humanmouse_153M_J23,J23
PD193_humanmouse_153M_K01,K01
PD193_humanmouse_153M_K03,K03
PD193_humanmouse_153M_K05,K05
PD193_humanmouse_153M_K07,K07
PD193_humanmouse_153M_K09,K09
PD193_humanmouse_153M_K11,K11
PD193_humanmouse_153M_K13,K13
PD193_humanmouse_153M_K15,K15
PD193_humanmouse_153M_K17,K17
PD193_humanmouse_153M_K19,K19
PD193_humanmouse_153M_K21,K21
PD193_humanmouse_153M_K23,K23
PD193_humanmouse_153M_L01,L01
PD193_humanmouse_153M_L03,L03
PD193_humanmouse_153M_L05,L05
PD193_humanmouse_153M_L07,L07
PD193_humanmouse_153M_L09,L09
PD193_humanmouse_153M_L11,L11
PD193_humanmouse_153M_L13,L13
PD193_humanmouse_153M_L15,L15
PD193_humanmouse_153M_L17,L17
PD193_humanmouse_153M_L19,L19
PD193_humanmouse_153M_L21,L21
PD193_humanmouse_153M_L23,L23
PD193_humanmouse_153M_M01,M01
PD193_humanmouse_153M_M03,M03
PD193_humanmouse_153M_M05,M05
PD193_humanmouse_153M_M07,M07
PD193_humanmouse_153M_M09,M09
PD193_humanmouse_153M_M11,M11
PD193_humanmouse_153M_M13,M13
PD193_humanmouse_153M_M15,M15
PD193_humanmouse_153M_M17,M17
PD193_humanmouse_153M_M19,M19
PD193_humanmouse_153M_M21,M21
PD193_humanmouse_153M_M23,M23
PD193_humanmouse_153M_N01,N01
PD193_humanmouse_153M_N03,N03
PD193_humanmouse_153M_N05,N05
PD193_humanmouse_153M_N07,N07
PD193_humanmouse_153M_N09,N09
PD193_humanmouse_153M_N11,N11
PD193_humanmouse_153M_N13,N13
PD193_humanmouse_153M_N15,N15
PD193_humanmouse_153M_N17,N17
PD193_humanmouse_153M_N19,N19
PD193_humanmouse_153M_N21,N21
PD193_humanmouse_153M_N23,N23
PD193_humanmouse_153M_O01,O01
PD193_humanmouse_153M_O03,O03
PD193_humanmouse_153M_O05,O05
PD193_humanmouse_153M_O07,O07
PD193_humanmouse_153M_O09,O09
PD193_humanmouse_153M_O11,O11
PD193_humanmouse_153M_O13,O13
PD193_humanmouse_153M_O15,O15
PD193_humanmouse_153M_O17,O17
PD193_humanmouse_153M_O19,O19
PD193_humanmouse_153M_O21,O21
PD193_humanmouse_153M_O23,O23
PD193_humanmouse_153M_P01,P01
PD193_humanmouse_153M_P03,P03
PD193_humanmouse_153M_P05,P05
PD193_humanmouse_153M_P07,P07
PD193_humanmouse_153M_P09,P09
PD193_humanmouse_153M_P11,P11
PD193_humanmouse_153M_P13,P13
PD193_humanmouse_153M_P15,P15
PD193_humanmouse_153M_P17,P17
PD193_humanmouse_153M_P19,P19
PD193_humanmouse_153M_P21,P21
PD193_humanmouse_153M_P23,P23
PD193_humanmouse_153M_I02,I02
PD193_humanmouse_153M_I04,I04
PD193_humanmouse_153M_I06,I06
PD193_humanmouse_153M_I08,I08
PD193_humanmouse_153M_I10,I10
PD193_humanmouse_153M_I12,I12
PD193_humanmouse_153M_I14,I14
PD193_humanmouse_153M_I16,I16
PD193_humanmouse_153M_I18,I18
PD193_humanmouse_153M_I20,I20
PD193_humanmouse_153M_I22,I22
PD193_humanmouse_153M_I24,I24
PD193_humanmouse_153M_J02,J02
PD193_humanmouse_153M_J04,J04
PD193_humanmouse_153M_J06,J06
PD193_humanmouse_153M_J08,J08
PD193_humanmouse_153M_J10,J10
PD193_humanmouse_153M_J12,J12
PD193_humanmouse_153M_J14,J14
PD193_humanmouse_153M_J16,J16
PD193_humanmouse_153M_J18,J18
PD193_humanmouse_153M_J20,J20
PD193_humanmouse_153M_J22,J22
PD193_humanmouse_153M_J24,J24
PD193_humanmouse_153M_K02,K02
PD193_humanmouse_153M_K04,K04
PD193_humanmouse_153M_K06,K06
PD193_humanmouse_153M_K08,K08
PD193_humanmouse_153M_K10,K10
PD193_humanmouse_153M_K12,K12
PD193_humanmouse_153M_K14,K14
PD193_humanmouse_153M_K16,K16
PD193_humanmouse_153M_K18,K18
PD193_humanmouse_153M_K20,K20
PD193_humanmouse_153M_K22,K22
PD193_humanmouse_153M_K24,K24
PD193_humanmouse_153M_L02,L02
PD193_humanmouse_153M_L04,L04
PD193_humanmouse_153M_L06,L06
PD193_humanmouse_153M_L08,L08
PD193_humanmouse_153M_L10,L10
PD193_humanmouse_153M_L12,L12
PD193_humanmouse_153M_L14,L14
PD193_humanmouse_153M_L16,L16
PD193_humanmouse_153M_L18,L18
PD193_humanmouse_153M_L20,L20
PD193_humanmouse_153M_L22,L22
PD193_humanmouse_153M_L24,L24
PD193_humanmouse_153M_M02,M02
PD193_humanmouse_153M_M04,M04
PD193_humanmouse_153M_M06,M06
PD193_humanmouse_153M_M08,M08
PD193_humanmouse_153M_M10,M10
PD193_humanmouse_153M_M12,M12
PD193_humanmouse_153M_M14,M14
PD193_humanmouse_153M_M16,M16
PD193_humanmouse_153M_M18,M18
PD193_humanmouse_153M_M20,M20
PD193_humanmouse_153M_M22,M22
PD193_humanmouse_153M_M24,M24
PD193_humanmouse_153M_N02,N02
PD193_humanmouse_153M_N04,N04
PD193_humanmouse_153M_N06,N06
PD193_humanmouse_153M_N08,N08
PD193_humanmouse_153M_N10,N10
PD193_humanmouse_153M_N12,N12
PD193_humanmouse_153M_N14,N14
PD193_humanmouse_153M_N16,N16
PD193_humanmouse_153M_N18,N18
PD193_humanmouse_153M_N20,N20
PD193_humanmouse_153M_N22,N22
PD193_humanmouse_153M_N24,N24
PD193_humanmouse_153M_O02,O02
PD193_humanmouse_153M_O04,O04
PD193_humanmouse_153M_O06,O06
PD193_humanmouse_153M_O08,O08
PD193_humanmouse_153M_O10,O10
PD193_humanmouse_153M_O12,O12
PD193_humanmouse_153M_O14,O14
PD193_humanmouse_153M_O16,O16
PD193_humanmouse_153M_O18,O18
PD193_humanmouse_153M_O20,O20
PD193_humanmouse_153M_O22,O22
PD193_humanmouse_153M_O24,O24
PD193_humanmouse_153M_P02,P02
PD193_humanmouse_153M_P04,P04
PD193_humanmouse_153M_P06,P06
PD193_humanmouse_153M_P08,P08
PD193_humanmouse_153M_P10,P10
PD193_humanmouse_153M_P12,P12
PD193_humanmouse_153M_P14,P14
PD193_humanmouse_153M_P16,P16
PD193_humanmouse_153M_P18,P18
PD193_humanmouse_153M_P20,P20
PD193_humanmouse_153M_P22,P22
PD193_humanmouse_153M_P24,P24
